Abstractness,Average Block Depth,Average Cyclomatic Complexity,Average Number of Methods Per Type,Efferent Couplings,Lines of Code,Number of Methods,Number of Packages,Weighted Methods
8.6%,1.28,1.96,10.32,348,"59,736","4,883",33,"10,076"
8.6%,1.28,1.96,10.30,348,"59,595","4,876",33,"10,054"
8.6%,1.28,1.95,10.29,348,"59,514","4,871",33,"10,034"
8.6%,1.28,1.96,10.28,348,"59,464","4,867",33,"10,030"
8.6%,1.28,1.95,10.23,348,"59,141","4,841",33,"9,971"
8.7%,1.28,1.95,10.25,347,"58,904","4,819",33,"9,931"
8.7%,1.28,1.96,10.24,347,"58,882","4,816",33,"9,943"
8.7%,1.27,1.92,10.03,343,"56,012","4,688",33,"9,482"
8.7%,1.27,1.92,9.99,344,"56,033","4,688",33,"9,500"
8.7%,1.27,1.92,9.99,344,"56,037","4,687",33,"9,501"
8.7%,1.28,1.93,9.83,347,"54,428","4,601",33,"9,456"
8.7%,1.28,1.93,9.83,347,"54,428","4,601",33,"9,456"
8.7%,1.28,1.93,9.80,345,"54,251","4,599",33,"9,469"
8.4%,1.28,1.94,9.98,331,"53,182","4,475",33,"9,252"
8.4%,1.28,1.94,9.98,331,"53,182","4,475",33,"9,252"
8.4%,1.29,1.95,10.10,332,"52,634","4,447",35,"9,279"
8.7%,1.30,1.98,9.95,319,"49,905","4,221",33,"8,943"
8.7%,1.30,1.98,9.95,319,"49,898","4,220",33,"8,941"
8.8%,1.30,1.99,10.33,317,"49,647","4,198",33,"8,943"
8.8%,1.30,1.99,10.33,317,"49,637","4,197",33,"8,942"
8.3%,1.30,2.00,10.45,309,"48,908","4,119",31,"8,835"
8.4%,1.30,2.00,10.57,307,"48,891","4,124",31,"8,846"
8.3%,1.30,2.02,10.50,311,"49,633","4,151",32,"8,988"
8.3%,1.30,2.02,10.52,310,"49,542","4,145",32,"8,980"
8.2%,1.30,2.02,10.63,309,"49,509","4,138",32,"8,973"
7.6%,1.30,2.02,10.70,302,"48,510","4,035",32,"8,834"
7.7%,1.30,2.02,10.74,302,"48,338","4,019",32,"8,817"
7.3%,1.31,2.02,11.61,283,"46,909","3,938",30,"8,606"
7.3%,1.31,2.02,11.63,282,"46,870","3,934",30,"8,599"
6.3%,1.31,2.02,11.78,278,"46,468","3,890",30,"8,526"
6.3%,1.31,2.02,11.74,278,"46,300","3,875",30,"8,504"
6.5%,1.31,2.04,11.82,268,"45,445","3,783",30,"8,351"
6.5%,1.31,2.04,11.82,268,"45,444","3,783",30,"8,350"
6.5%,1.31,2.04,11.82,268,"45,457","3,783",30,"8,350"
6.5%,1.31,2.03,11.64,267,"44,539","3,726",30,"8,204"
6.6%,1.32,2.04,11.69,264,"44,484","3,695",30,"8,198"
6.6%,1.31,2.00,12.23,264,"45,319","3,867",30,"8,368"
6.6%,1.31,2.00,12.23,264,"45,300","3,866",30,"8,364"
6.6%,1.31,2.00,12.19,264,"45,143","3,854",30,"8,332"
7%,1.30,2.00,12.54,260,"45,570","3,914",30,"8,477"
7%,1.30,2.00,12.50,260,"45,330","3,889",30,"8,420"
9.4%,1.27,1.91,11.17,320,"52,221","4,729",30,"9,944"
9.4%,1.27,1.91,11.17,320,"52,225","4,728",30,"9,943"
9.4%,1.27,1.91,11.13,319,"51,853","4,700",30,"9,912"
9.5%,1.27,1.91,11.15,318,"51,794","4,696",30,"9,896"
9.2%,1.27,1.90,11.38,301,"49,570","4,544",27,"9,496"
9.4%,1.26,1.89,10.50,340,"50,474","4,655",27,"9,675"
9.5%,1.27,1.89,10.30,339,"49,634","4,556",27,"9,485"
9.5%,1.26,1.88,10.25,337,"49,143","4,513",27,"9,388"
9.5%,1.26,1.88,10.90,307,"48,526","4,448",27,"9,262"
9.3%,1.26,1.88,11.21,289,"47,351","4,339",27,"9,029"
9.3%,1.26,1.88,11.21,289,"47,345","4,339",27,"9,028"
9.3%,1.26,1.88,11.18,289,"47,242","4,328",27,"9,008"
9.3%,1.26,1.89,11.15,288,"47,006","4,307",27,"8,970"
9.3%,1.26,1.89,11.15,288,"47,016","4,307",27,"8,969"
9.5%,1.27,1.90,11.27,287,"46,833","4,251",27,"8,939"
9.5%,1.27,1.90,11.27,287,"46,826","4,250",27,"8,938"
9.5%,1.27,1.90,11.26,287,"46,791","4,248",27,"8,935"
9.5%,1.27,1.90,11.25,287,"46,723","4,244",27,"8,921"
9.5%,1.27,1.90,11.24,287,"46,647","4,239",27,"8,906"
9.5%,1.27,1.90,11.24,287,"46,641","4,238",27,"8,905"
9.5%,1.27,1.90,11.23,287,"46,612","4,236",27,"8,901"
9.5%,1.27,1.89,11.18,287,"46,332","4,218",27,"8,835"
9.6%,1.27,1.89,11.22,288,"46,104","4,198",27,"8,795"
9.7%,1.26,1.89,11.30,285,"45,609","4,161",27,"8,703"
