Project,DefectId,StatementCoverage
Chart,1,57.8%
Chart,2,74.5%
Chart,3,79.4%
Chart,4,70.6%
Chart,5,76.6%
Chart,6,93.1%
Chart,7,88.6%
Chart,8,48.8%
Chart,9,75.7%
Chart,10,100.0%
Chart,11,40.9%
Chart,12,32.1%
Chart,13,63.3%
Chart,14,73.5%
Chart,15,79.7%
Chart,16,73.7%
Chart,17,75.6%
Chart,18,87.1%
Chart,19,76.7%
Chart,20,86.4%
Chart,21,84.3%
Chart,22,80.6%
Chart,23,43.8%
Chart,24,96.0%
Chart,25,69.4%
Chart,26,89.9%
Project,DefectId,StatementCoverage
Project,DefectId,StatementCoverage
Project,DefectId,StatementCoverage
Closure,1,98.6%
Closure,2,97.8%
Closure,3,94.5%
Project,DefectId,StatementCoverage
Lang,1,98.1%
Lang,2,100.0%
Lang,3,98.1%
Lang,4,100.0%
Lang,5,100.0%
Lang,6,93.3%
Lang,7,97.6%
Lang,8,92.7%
Lang,9,93.3%
Lang,10,92.4%
Lang,11,96.4%
Lang,12,94.1%
Lang,13,88.7%
Lang,14,97.6%
Lang,15,67.1%
Lang,16,95.7%
Lang,17,93.9%
Lang,18,80.7%
Lang,19,100.0%
Lang,20,97.3%
Lang,21,95.8%
Lang,22,98.9%
Lang,23,82.2%
Lang,24,97.9%
Lang,25,100.0%
Lang,26,73.2%
Lang,27,97.9%
Lang,28,100.0%
Lang,29,94.3%
Lang,30,98.0%
Lang,31,98.0%
Lang,32,92.3%
Lang,33,95.5%
Lang,34,90.1%
Lang,35,96.6%
Lang,36,98.1%
Lang,37,100.0%
Lang,38,72.7%
Lang,39,97.8%
Lang,40,99.1%
Lang,41,95.3%
Lang,42,97.1%
Lang,43,77.2%
Lang,44,97.9%
Lang,45,100.0%
Lang,46,83.3%
Lang,47,99.4%
Lang,48,82.4%
Lang,49,99.2%
Lang,50,72.0%
Lang,51,100.0%
Project,DefectId,StatementCoverage
Lang,52,82.3%
Lang,53,97.1%
Lang,54,100.0%
Lang,55,98.2%
Lang,56,63.4%
Lang,57,7.9%
Lang,58,98.6%
Lang,59,99.5%
Lang,60,99.5%
Lang,61,99.5%
Lang,62,99.2%
Lang,63,93.8%
Lang,64,100.0%
Lang,65,96.8%
Project,DefectId,StatementCoverage
Math,1,95.8%
Math,2,97.0%
Math,3,85.7%
Math,4,100.0%
Math,5,95.6%
Math,6,93.1%
Math,7,96.9%
Math,8,86.8%
Math,9,82.6%
Math,10,100.0%
Project,DefectId,StatementCoverage
Time,1,92.9%
Time,2,92.8%
Time,3,99.2%
Time,4,100.0%
Time,5,100.0%
Time,6,81.5%
Time,7,95.2%
Time,8,93.2%
Time,9,94.0%
Time,10,97.1%
Time,11,81.3%
Time,12,93.2%
Time,13,87.0%
Time,14,74.5%
Time,15,88.4%
Time,16,95.2%
Time,17,93.5%
Time,18,81.6%
Time,19,93.5%
Time,20,77.3%
