@relation lang_results

@attribute Abstractness {'8.6\%','8.7\%','8.4\%','8.8\%','8.3\%','8.2\%','7.6\%','7.7\%','7.3\%','6.3\%','6.5\%','6.6\%','7\%','9.4\%','9.5\%','9.2\%','9.3\%','9.6\%','9.7\%'}
@attribute 'Average Block Depth' numeric
@attribute 'Average Cyclomatic Complexity' numeric
@attribute 'Average Number of Methods Per Type' numeric
@attribute 'Efferent Couplings' numeric
@attribute 'Lines of Code' {'59,736','59,595','59,514','59,464','59,141','58,904','58,882','56,012','56,033','56,037','54,428','54,251','53,182','52,634','49,905','49,898','49,647','49,637','48,908','48,891','49,633','49,542','49,509','48,510','48,338','46,909','46,870','46,468','46,300','45,445','45,444','45,457','44,539','44,484','45,319','45,300','45,143','45,570','45,330','52,221','52,225','51,853','51,794','49,570','50,474','49,634','49,143','48,526','47,351','47,345','47,242','47,006','47,016','46,833','46,826','46,791','46,723','46,647','46,641','46,612','46,332','46,104','45,609'}
@attribute 'Number of Methods' {'4,883','4,876','4,871','4,867','4,841','4,819','4,816','4,688','4,687','4,601','4,599','4,475','4,447','4,221','4,220','4,198','4,197','4,119','4,124','4,151','4,145','4,138','4,035','4,019','3,938','3,934','3,890','3,875','3,783','3,726','3,695','3,867','3,866','3,854','3,914','3,889','4,729','4,728','4,700','4,696','4,544','4,655','4,556','4,513','4,448','4,339','4,328','4,307','4,251','4,250','4,248','4,244','4,239','4,238','4,236','4,218','4,161'}
@attribute 'Number of Packages' numeric
@attribute 'Weighted Methods' {'10,076','10,054','10,034','10,030','9,971','9,931','9,943','9,482','9,500','9,501','9,456','9,469','9,252','9,279','8,943','8,941','8,942','8,835','8,846','8,988','8,980','8,973','8,834','8,817','8,606','8,599','8,526','8,504','8,351','8,350','8,204','8,198','8,368','8,364','8,332','8,477','8,420','9,944','9,912','9,896','9,496','9,675','9,485','9,388','9,262','9,029','9,028','9,008','8,970','8,969','8,939','8,938','8,935','8,921','8,906','8,905','8,901','8,795','8,703'}

@data
'8.6\%',1.28,1.96,10.32,348,'59,736','4,883',33,'10,076'
'8.6\%',1.28,1.96,10.3,348,'59,595','4,876',33,'10,054'
'8.6\%',1.28,1.95,10.29,348,'59,514','4,871',33,'10,034'
'8.6\%',1.28,1.96,10.28,348,'59,464','4,867',33,'10,030'
'8.6\%',1.28,1.95,10.23,348,'59,141','4,841',33,'9,971'
'8.7\%',1.28,1.95,10.25,347,'58,904','4,819',33,'9,931'
'8.7\%',1.28,1.96,10.24,347,'58,882','4,816',33,'9,943'
'8.7\%',1.27,1.92,10.03,343,'56,012','4,688',33,'9,482'
'8.7\%',1.27,1.92,9.99,344,'56,033','4,688',33,'9,500'
'8.7\%',1.27,1.92,9.99,344,'56,037','4,687',33,'9,501'
'8.7\%',1.28,1.93,9.83,347,'54,428','4,601',33,'9,456'
'8.7\%',1.28,1.93,9.83,347,'54,428','4,601',33,'9,456'
'8.7\%',1.28,1.93,9.8,345,'54,251','4,599',33,'9,469'
'8.4\%',1.28,1.94,9.98,331,'53,182','4,475',33,'9,252'
'8.4\%',1.28,1.94,9.98,331,'53,182','4,475',33,'9,252'
'8.4\%',1.29,1.95,10.1,332,'52,634','4,447',35,'9,279'
'8.7\%',1.3,1.98,9.95,319,'49,905','4,221',33,'8,943'
'8.7\%',1.3,1.98,9.95,319,'49,898','4,220',33,'8,941'
'8.8\%',1.3,1.99,10.33,317,'49,647','4,198',33,'8,943'
'8.8\%',1.3,1.99,10.33,317,'49,637','4,197',33,'8,942'
'8.3\%',1.3,2,10.45,309,'48,908','4,119',31,'8,835'
'8.4\%',1.3,2,10.57,307,'48,891','4,124',31,'8,846'
'8.3\%',1.3,2.02,10.5,311,'49,633','4,151',32,'8,988'
'8.3\%',1.3,2.02,10.52,310,'49,542','4,145',32,'8,980'
'8.2\%',1.3,2.02,10.63,309,'49,509','4,138',32,'8,973'
'7.6\%',1.3,2.02,10.7,302,'48,510','4,035',32,'8,834'
