methodNumber,suspiciousness,ranking,percentage
14,0.0625,14,0.05982905982905983
3,0.2,6,0.02564102564102564
14,0.13333333333333333,7,0.029914529914529916
9,0.3,1,0.1
3,0.2,6,0.02564102564102564
5,0.8571428571428571,1,0.004273504273504274
21,0.34782608695652173,2,0.2
29,0.45901639344262296,10,1.0
6,0.26666666666666666,4,0.017094017094017096
19,0.4146341463414634,19,0.0811965811965812
10,0.16666666666666666,2,0.008547008547008548
10,0.21739130434782608,3,0.01282051282051282
2,0.5,7,0.7
29,0.03225806451612903,2,0.008547008547008548
356,0.0937062937062937,66,6.6
14,0.125,37,0.1581196581196581
5,0.2857142857142857,2,0.008547008547008548
40,0.3333333333333333,94,0.4017094017094017
9,0.5882352941176471,1,0.004273504273504274
87,0.02824858757062147,2,0.2
6,0.125,2,0.008547008547008548
20,0.2558139534883721,19,0.0811965811965812
,,,
47,0.2127659574468085,26,0.1111111111111111
,,,
46,0.3125,19,0.0811965811965812
14,0.125,172,0.7350427350427351
8,0.5555555555555556,2,0.008547008547008548
222,0.004484304932735426,5,0.021367521367521368
248,0.010040160642570281,1,0.002173913043478261
242,0.01440329218106996,1,0.004273504273504274
219,0.05429864253393665,12,1.2
231,0.004291845493562232,2,0.008547008547008548
33,0.09902067464635474,206,20.6
147,0.013422818791946308,3,0.3
47,0.2,54,5.4
127,0.007751937984496124,2,0.008547008547008548
50,0.34615384615384615,20,0.08547008547008547
95,0.020618556701030927,2,0.008547008547008548
30,0.0625,2,0.008547008547008548
8,0.2631578947368421,4,0.4
14,0.125,16,0.06837606837606838
42,0.11627906976744186,2,0.008547008547008548
4,0.3333333333333333,1,0.004273504273504274
14,0.0625,2,0.008547008547008548
24,0.11538461538461539,2,0.012121212121212121
68,0.07194244604316546,57,5.7
10,0.16666666666666666,6,0.02564102564102564
15,0.29411764705882354,10,0.042735042735042736
37,0.3013698630136986,49,4.9
26,0.03571428571428571,2,0.008547008547008548
24,0.15384615384615385,2,0.008547008547008548
23,0.08,2,0.008547008547008548
2,0.25,5,0.021367521367521368
3,0.6,3,0.01282051282051282
,,,
23,0.043478260869565216,2,0.008547008547008548
12,0.14285714285714285,4,0.017094017094017096
46,0.0625,25,0.10683760683760683
89,0.07692307692307693,66,6.6
91,0.08108108108108109,60,0.2564102564102564
16,0.16666666666666666,16,1.6
11,0.4166666666666667,9,0.9
28,0.06666666666666667,79,0.33760683760683763
23,0.08,2,0.008547008547008548
