methodNumber,suspiciousness,ranking,percentage
14,0.031331592689295036,60,0.2564102564102564
3,0.19148936170212766,8,0.03418803418803419
14,0.030837004405286344,60,0.2564102564102564
9,1.0833333333333333,2,0.2
3,0.18181818181818182,7,0.029914529914529916
5,0.15214180206794684,2,0.008547008547008548
21,0.030147530468248876,26,2.6
29,0.19664938173115276,68,6.8
6,0.3875,2,0.008547008547008548
19,0.23652864435621102,40,0.17094017094017094
10,0.5348837209302325,3,0.01282051282051282
10,0.5277777777777778,5,0.021367521367521368
2,0.14130434782608695,12,1.2
29,0.03071506616486585,19,0.0811965811965812
356,0.032090199479618386,37,3.7
14,0.02336448598130841,50,0.21367521367521367
5,0.7007874015748031,2,0.008547008547008548
40,0.2632283991962492,68,0.2905982905982906
9,0.896551724137931,4,0.017094017094017096
87,0.014670526470732545,97,9.7
6,0.013531799729364006,50,0.21367521367521367
20,0.3496143958868895,20,0.08547008547008547
,,,
47,0.03597122302158273,31,0.13247863247863248
,,,
46,0.3007380073800738,33,0.14102564102564102
14,0.03597122302158273,27,0.11538461538461539
8,0.6442307692307693,6,0.02564102564102564
222,0.011650195944794684,33,0.14102564102564102
248,0.005326002920711279,63,0.13695652173913042
242,0.005122219326178847,119,0.5085470085470085
219,0.014760147601476014,25,2.5
231,0.011025937204662396,8,0.03418803418803419
33,0.10333048676345004,207,20.7
147,0.012547801147227533,144,14.4
47,0.034482758620689655,43,4.3
127,0.012911286963765098,99,0.4230769230769231
50,0.3147482014388489,24,0.10256410256410256
95,0.01533037765076652,107,0.45726495726495725
30,0.02617801047120419,30,0.1282051282051282
8,0.14146341463414633,8,0.8
14,0.23742454728370221,10,0.042735042735042736
42,0.2754237288135593,6,0.02564102564102564
4,0.1111111111111111,15,0.0641025641025641
14,0.02531645569620253,12,0.05128205128205128
24,0.04856512141280353,16,0.09696969696969697
68,0.10642980663417702,69,6.9
10,0.28810408921933084,6,0.02564102564102564
15,0.4084507042253521,16,0.06837606837606838
37,0.34275618374558303,87,8.7
26,0.027818448023426062,29,0.12393162393162394
24,0.05740181268882175,13,0.05555555555555555
23,0.09090909090909091,8,0.03418803418803419
2,0.2413793103448276,8,0.03418803418803419
3,3.0,2,0.008547008547008548
,,,
23,0.043478260869565216,2,0.008547008547008548
12,0.026696329254727477,23,0.09829059829059829
46,0.1620703708735226,47,0.20085470085470086
89,0.09224749651833676,90,9.0
91,0.090814332247557,92,0.39316239316239315
16,0.33604336043360433,14,1.4
11,0.5319148936170213,14,1.4
28,0.01674515960230246,159,0.6794871794871795
23,0.0883054892601432,8,0.03418803418803419
