BuggyVersion,PassedTests,FailedTests,FailedTestCoverStatement,FailedTestDontCoverStatement,SuccesfulTestCoverStatement,Density,Uniqueness,Diversity
1,425,1,100,100,100,0.14767837175418186,0.3231756214915798,0.5420843089224734
2,347,2,86,86,86,0.1531221017953297,0.3961352657004831,0.6365086065381549
3,48,1,38,38,38,0.4101597160603372,0.3423913043478261,0.5687811831789024
4,401,22,3013,3013,3013,0.0678977513710477,0.1952678107124285,0.35244697174102824
5,125,1,13,13,13,0.49863945578231295,0.6,0.8434782608695652
6,477,2,32,32,32,0.28551807493682013,0.4473684210526316,0.6978947368421053
7,14,1,28,28,28,0.4700564971751413,0.2711864406779661,0.47052006374040267
8,22,1,8,8,8,0.3526570048309179,0.4444444444444444,0.6984126984126984
9,31,1,51,51,51,0.33607954545454544,0.2681818181818182,0.46533831465338316
10,0,1,2,2,2,0.33333333333333326,0.25,0.4545454545454546
11,263,1,1,1,1,0.19421487603305787,0.5454545454545454,0.8051948051948052
12,196,1,61,61,61,0.16848332218418394,0.1834625322997416,0.33346035948400643
13,136,1,58,58,58,0.43735508802060963,0.28823529411764703,0.49460494256874343
14,486,4,173,173,173,0.11434270808215874,0.29430719656283566,0.5022209902636776
15,196,1,200,200,200,0.1348853291647174,0.18546078992558673,0.3366123959187768
16,13,8,67,67,67,0.3750915750915751,0.49230769230769234,0.7461538461538462
17,46,1,27,27,27,0.19716312056737584,0.25416666666666665,0.4445258019525802
18,237,4,45,45,45,0.3493595525888509,0.717391304347826,0.922360248447205
19,359,2,155,155,155,0.1732055308939603,0.30404463040446306,0.515941656342769
20,282,1,8,8,8,0.22511921506741228,0.5825242718446602,0.8280982295830954
21,12,1,27,27,27,0.5159051474840949,0.21052631578947367,0.37799043062200954
22,31,6,80,80,80,0.6834834834834835,0.5555555555555556,0.8080808080808081
23,4,1,38,38,38,0.19508408796895216,0.014230271668822769,0.02827621339374886
24,9,1,3,3,3,0.775,0.875,1.0
25,5,4,2131,2131,2131,0.3510431829209122,0.008187772925764192,0.01631294136165362
26,517,22,11154,11154,11154,0.06402105425382465,0.2185303514376997,0.38935976646378256
