BuggyVersion,PassedTests,FailedTests,FailedTestCoverStatement,FailedTestDontCoverStatement,SuccesfulTestCoverStatement,Density,Uniqueness,Diversity
1,78,1,3,3,3,0.01971451656342582,0.2170212765957447,0.387670485542826
2,13,1,3,3,3,0.5584415584415584,0.8181818181818182,0.9818181818181818
3,77,1,4,4,4,0.0194217130387343,0.2170212765957447,0.387670485542826
4,29,1,3,3,3,0.8466666666666667,0.9,1.0
5,12,1,3,3,3,0.5594405594405595,0.8181818181818182,0.9818181818181818
6,129,1,31,31,31,0.018554980810946087,0.2754880694143167,0.4755163632934075
7,72,1,22,22,22,0.014743907135390866,0.20080321285140562,0.3619315973571706
8,98,2,117,117,117,0.36734939759036145,0.5542168674698795,0.8027747353048558
9,109,2,43,43,43,0.3353880195985459,0.5497076023391813,0.7986928104575164
10,107,2,59,59,59,0.3376790600354096,0.5497076023391813,0.7986928104575164
11,5,1,2,2,2,0.6410256410256411,0.6153846153846154,0.8717948717948718
12,3,2,6,6,6,0.6461538461538462,0.5384615384615384,0.8076923076923077
13,34,1,6,6,6,0.4351648351648352,0.8461538461538461,0.9871794871794872
14,282,1,1,1,1,0.022928043687761024,0.9034090909090909,0.9911688311688311
15,8,2,74,74,74,0.07459459459459461,0.04054054054054054,0.07954295759173813
16,72,1,9,9,9,0.014166959372438837,0.21367521367521367,0.3824144382084296
17,35,1,5,5,5,0.056194125159642394,0.14559386973180077,0.27046861184792215
18,45,1,53,53,53,0.31717234907726,0.35251798561151076,0.5824210197059744
19,20,2,10,10,10,0.7636363636363637,0.8,0.9777777777777777
20,233,2,5,5,5,0.024814150217892905,0.9216867469879518,0.9943044906900329
21,106,1,1,1,1,0.12903225806451613,0.8387096774193549,0.9762030671602326
22,23,2,12,12,12,0.36342857142857143,0.7714285714285715,0.9529411764705882
23,7,1,18,18,18,0.2238095238095238,0.08571428571428572,0.1648351648351648
24,47,1,12,12,12,0.01729559748427678,0.23113207547169812,0.40968434230528483
25,4,1,1,1,1,0.8,0.46153846153846156,0.7307692307692308
26,44,1,20,20,20,0.39679266895761733,0.44329896907216493,0.6926546391752577
27,47,1,25,25,25,0.018240343347639465,0.2145922746781116,0.3838611809974841
28,18,1,5,5,5,0.7052631578947368,0.8,0.9777777777777777
29,212,1,3,3,3,0.025893983578416213,0.6784140969162996,0.8975478538848388
30,366,10,25,25,25,0.010756173749042253,0.7950138504155124,0.9584333641120345
31,363,2,7,7,7,0.010685690433726691,0.7950138504155124,0.9584333641120345
32,44,1,17,17,17,0.050091074681238634,0.13114754098360656,0.24556432571004516
33,82,1,1,1,1,0.022684881786560473,0.14644351464435146,0.2719665271966527
34,125,27,932,932,932,0.24457236842105257,0.43333333333333335,0.6799163179916319
35,228,1,2,2,2,0.0231738785232235,0.8522727272727273,0.9788961038961039
36,48,2,31,31,31,0.02036363636363636,0.22727272727272727,0.4036944790369448
37,208,1,1,1,1,0.02323991797676006,0.8514285714285714,0.9786535303776683
38,42,1,26,26,26,0.3144186046511628,0.344,0.5714838709677419
39,197,1,2,2,2,0.026913875598086112,0.9276315789473685,0.9952073893342628
40,195,1,2,2,2,0.027165833220705538,0.9271523178807947,0.9951434878587196
41,76,2,5,5,5,0.13929313929313936,0.918918918918919,0.9954954954954955
42,40,1,11,11,11,0.2184959349593496,0.46875,0.7203947368421053
43,6,1,5,5,5,0.30277185501066106,0.14925373134328357,0.2781546811397557
44,19,1,2,2,2,0.19500000000000006,0.95,1.0
45,80,1,3,3,3,0.029268969343875684,0.5168539325842697,0.7679807020884911
46,18,1,3,3,3,0.12729498164014685,0.4186046511627907,0.6677740863787376
47,202,2,10,10,10,0.13154269972451793,0.7231404958677686,0.9241795548849491
48,62,1,3,3,3,0.36296296296296293,0.9333333333333333,0.9977011494252873
49,24,1,6,6,6,0.3611428571428572,0.7714285714285715,0.9529411764705882
50,18,2,53,53,53,0.534020618556701,0.4020618556701031,0.6449742268041236
51,51,1,1,1,1,0.06376518218623484,1.0,1.0
52,13,1,4,4,4,0.1575091575091575,0.3333333333333333,0.5614035087719298
53,19,1,2,2,2,0.16774193548387095,0.8387096774193549,0.978494623655914
54,11,1,3,3,3,0.6166666666666667,0.8,0.9777777777777777
55,5,1,5,5,5,0.9230769230769231,0.7692307692307693,0.9615384615384616
56,17,1,13,13,13,0.40740740740740744,0.2682926829268293,0.4662135145941624
57,0,11,11,11,11,0.07692307692307687,0.11538461538461539,0.22153846153846157
58,70,1,6,6,6,0.015991784037558632,0.2864583333333333,0.4919284467713787
59,181,1,3,3,3,0.14544942237249936,0.7128205128205128,0.9185831350779804
60,182,1,8,8,8,0.1528058487411732,0.7168949771689498,0.9207825394830548
61,180,2,15,15,15,0.15319383812534504,0.7168949771689498,0.9207825394830548
62,28,1,10,10,10,0.47862068965517235,0.54,0.793469387755102
63,11,1,11,11,11,0.13020833333333337,0.1,0.19056603773584901
64,66,1,8,8,8,0.04477611940298509,0.13186813186813187,0.24697953979721932
65,18,1,2,2,2,0.16638370118845502,0.8064516129032258,0.967741935483871
